fileName;precision;recall
369.csv;;0
3252.csv;1.0;0.25
1123.csv;;0
484.csv;;
3472.csv;0;0
2867.csv;;0
1412.csv;;0
2890.csv;;0
4127.csv;;0
3862.csv;;0
4677.csv;0;0
2787.csv;0.5;0.2
2557.csv;;0
2154.csv;;0
1908.csv;;
3272.csv;0.5;0.5
3941.csv;0.6666666666666666;0.6666666666666666
2129.csv;1.0;0.2857142857142857
1893.csv;;
2773.csv;;
4138.csv;;0
944.csv;0;0
2214.csv;0;0
4326.csv;0.5;0.125
2676.csv;;0
2707.csv;1.0;1.0
4345.csv;;0
3522.csv;1.0;1.0
3125.csv;;0
20.csv;;0
217.csv;;
4489.csv;;0
2034.csv;0;0
4282.csv;;0
4571.csv;;0
3426.csv;0.5;0.25
3236.csv;;0
733.csv;;
4241.csv;;
3759.csv;1.0;1.0
800.csv;;
1787.csv;;0
2028.csv;;0
1064.csv;;
2661.csv;1.0;1.0
4085.csv;1.0;0.3333333333333333
652.csv;;0
3517.csv;;0
171.csv;1.0;1.0
2100.csv;;
4884.csv;0;0
4673.csv;;
3218.csv;;0
3154.csv;1.0;1.0
4212.csv;;0
1113.csv;;
320.csv;;0
794.csv;;0
3325.csv;0;0
1941.csv;;0
2517.csv;;
2001.csv;;
3389.csv;;
4310.csv;1.0;1.0
4724.csv;;0
3197.csv;1.0;0.5
4517.csv;1.0;1.0
4270.csv;;
3250.csv;;0
2983.csv;;0
620.csv;;
3029.csv;0;0
2006.csv;;
1209.csv;0;0
1371.csv;;0
1739.csv;;0
3531.csv;;0
1540.csv;;0
1842.csv;;
418.csv;;0
2637.csv;;0
4317.csv;;0
3093.csv;;
1079.csv;0;0
3778.csv;;
2830.csv;0.5;0.25
2144.csv;;
2981.csv;;
213.csv;;0
931.csv;;
3415.csv;;0
3276.csv;;0
4950.csv;;0
3416.csv;;0
4503.csv;;0
4299.csv;;0
4762.csv;;0
3432.csv;;
1156.csv;0;0
1171.csv;;
569.csv;;0
4697.csv;;
4654.csv;0;0
2377.csv;;0
1986.csv;;
1334.csv;;
3456.csv;;0
183.csv;;0
4787.csv;;
4057.csv;;
1814.csv;;
2483.csv;0;0
649.csv;;0
599.csv;1.0;1.0
4353.csv;;
2925.csv;;0
1542.csv;;
1244.csv;0;0
2031.csv;;
2537.csv;;
1578.csv;0.5;0.25
2999.csv;0.5;0.5
749.csv;1.0;1.0
1289.csv;;
3403.csv;0;0
2938.csv;;0
2982.csv;;
3028.csv;;0
2843.csv;1.0;0.2
1062.csv;0;0
2756.csv;;0
1810.csv;;0
3790.csv;;
506.csv;0;0
1482.csv;;
3678.csv;;
3309.csv;;0
619.csv;0.5;1.0
2687.csv;;
4369.csv;;0
4929.csv;;
4811.csv;0;0
1955.csv;;
199.csv;;0
125.csv;0.5;0.3333333333333333
1730.csv;;
467.csv;;0
401.csv;;0
3357.csv;0;0
1499.csv;;0
653.csv;0.5;0.5
2889.csv;;0
4376.csv;;0
2445.csv;;0
4150.csv;0;0
219.csv;;
18.csv;;0
2991.csv;;
1653.csv;;0
2451.csv;;
4670.csv;;0
1056.csv;;
1293.csv;;
3673.csv;;
3176.csv;;
1555.csv;1.0;0.5
4662.csv;;0
