fileName;precision;recall
1208.csv;1.0;0.02
294.csv;;0
1805.csv;;0
3640.csv;;0
3102.csv;1.0;0.02
3577.csv;;0
4327.csv;;0
1860.csv;;0
1665.csv;1.0;0.01
3261.csv;;0
3164.csv;1.0;0.01
852.csv;1.0;0.01
3606.csv;1.0;0.02
1296.csv;1.0;0.02
1154.csv;1.0;0.02
811.csv;;0
3311.csv;1.0;0.04
4873.csv;1.0;0.01
4301.csv;;0
2328.csv;;0
783.csv;;0
423.csv;;0
775.csv;;0
4286.csv;;0
368.csv;;0
3975.csv;1.0;0.01
2697.csv;1.0;0.03
3344.csv;1.0;0.02
2555.csv;1.0;0.02
3616.csv;;0
2196.csv;1.0;0.02
3177.csv;1.0;0.02
3089.csv;1.0;0.02
1478.csv;;0
939.csv;;0
4685.csv;1.0;0.01
1737.csv;;0
2625.csv;1.0;0.01
3991.csv;1.0;0.01
821.csv;;0
3509.csv;1.0;0.01
4938.csv;1.0;0.03
2245.csv;;0
790.csv;1.0;0.02
606.csv;1.0;0.01
1951.csv;;0
119.csv;;0
437.csv;1.0;0.02
409.csv;;0
2331.csv;1.0;0.02
2638.csv;1.0;0.01
2570.csv;1.0;0.01
709.csv;;0
564.csv;;0
1247.csv;1.0;0.02
2506.csv;1.0;0.04
1428.csv;;0
4632.csv;;0
3113.csv;;0
1057.csv;;0
510.csv;1.0;0.02
1742.csv;1.0;0.01
1420.csv;1.0;0.02
3468.csv;1.0;0.02
2998.csv;1.0;0.01
2233.csv;1.0;0.01
863.csv;1.0;0.01
3845.csv;;0
2021.csv;1.0;0.02
3681.csv;1.0;0.02
4979.csv;1.0;0.01
1580.csv;1.0;0.02
1664.csv;;0
2425.csv;1.0;0.01
2958.csv;;0
2024.csv;;0
2757.csv;1.0;0.01
987.csv;;0
4447.csv;;0
3436.csv;;0
968.csv;1.0;0.01
4645.csv;1.0;0.01
2840.csv;;0
82.csv;1.0;0.02
3698.csv;;0
4566.csv;;0
3979.csv;1.0;0.01
4573.csv;1.0;0.01
3668.csv;1.0;0.02
2492.csv;;0
4532.csv;1.0;0.02
2965.csv;;0
703.csv;1.0;0.01
2318.csv;1.0;0.02
3525.csv;;0
814.csv;;0
4912.csv;1.0;0.03
191.csv;;0
1254.csv;1.0;0.01
4539.csv;1.0;0.02
4721.csv;;0
500.csv;;0
4891.csv;;0
3210.csv;;0
3220.csv;;0
4289.csv;1.0;0.04
2033.csv;1.0;0.01
4207.csv;1.0;0.01
4830.csv;;0
4619.csv;1.0;0.03
3919.csv;;0
3147.csv;;0
1060.csv;;0
2538.csv;1.0;0.03
3005.csv;;0
3172.csv;1.0;0.01
4234.csv;;0
1137.csv;1.0;0.02
